module	applied_tier	provenance	frozen_proposal_tier	rationale
NumStability.Algorithms.RandNLA.RowSamplingTraceMGF	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Row-sampling product trace-MGF adapters', 11 generic-named declarations); citations or historical fi
NumStability.Algorithms.RandNLA.UniformRowSampling	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Uniform row-sampling outer products', 33 generic-named declarations); citations or historical filena
NumStability.Algorithms.RandNLA.UniformRowSamplingComposition	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Joint signed-preprocessing and uniform-row sampling law', 11 generic-named declarations); citations 
NumStability.Algorithms.RandNLA.UniformRowSamplingFP	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Floating-point uniform row sketches', 336 generic-named declarations); citations or historical filen
NumStability.Algorithms.RandNLA.UniformRowSamplingMGF	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Centered uniform row covariance log-CGF', 32 generic-named declarations); citations or historical fi
NumStability.Algorithms.StationaryIteration	reusable	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as reusable from 0/141 source-named declarations and title ''. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.LinearSystems.Iterative and numbered/printed/source decla
NumStability.Algorithms.StationaryIterationDrazin	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 34 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.StationaryIterationRounded	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 13 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.StationaryIterationSemiconvergent	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 20 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.StationaryIterationSemiconvergentExistence	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 10 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Sylvester.Higham16	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16', 0 source-named declaration(s) of 81
NumStability.Algorithms.Sylvester.Higham16AutoCondition	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16AutoCondition', 0 source-named declaration(s) of 8
NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16HessenbergRounded', 2 source-named declaration(s) of 2
NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16HessenbergSchur', 0 source-named declaration(s) of 17
NumStability.Algorithms.Sylvester.Higham16Lyapunov	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16Minimizers	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16Minimizers', 0 source-named declaration(s) of 129
NumStability.Algorithms.Sylvester.Higham16NormEstimator	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16Problem16_2	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16Problem16_2', 34 source-named declaration(s) of 34
NumStability.Algorithms.Sylvester.Higham16Psi	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16QuasiRoundedSolve', 0 source-named declaration(s) of 7
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16QuasiRoundedSylvester', 0 source-named declaration(s) of 8
NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.Higham16Spectrum	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16Spectrum', 4 source-named declaration(s) of 199
NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16SpectrumMinimizers', 0 source-named declaration(s) of 16
NumStability.Algorithms.Sylvester.Higham16VecNorm	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16VecNorm', 4 source-named declaration(s) of 33
NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	source	new		numbered/book-specific ownership: title 'Algorithms.Sylvester.Higham16VecPermutationNotes', 2 source-named declaration(s) of 2
NumStability.Algorithms.Sylvester.SylvesterBackward	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.SylvesterPerturbation	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Sylvester.SylvesterSpec	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.TestMatrices.Higham28	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 1/80 source-named declarations and title 'Higham, Chapter 28: A Gallery of Test Matrices'. Required split action retained: Split source-neutral declarations into NumStability.Analysis.TestMatrices and numbered/printed/source declarations into 
NumStability.Algorithms.TestMatrices.Higham28Asymptotics	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: precise asymptotic statement surfaces', 0 source-marked declarations); generic helpers are scoped to
NumStability.Algorithms.TestMatrices.Higham28Cauchy	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 44 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28Companion	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 16 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 61 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28Contracts	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 1/73 source-named declarations and title 'Higham Chapter 28: deterministic contracts and exa'. Required split action retained: Split source-neutral declarations into NumStability.Analysis.TestMatrices and numbered/printed/source declarations into 
NumStability.Algorithms.TestMatrices.Higham28Exact	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'Higham Chapter 28: exact Hilbert identities', 32 generic-named declarations); citations or historical 
NumStability.Algorithms.TestMatrices.Higham28GaussianDirection	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'The invariant direction of a finite standard Gaussian vector -/', 10 generic-named declarations); cita
NumStability.Algorithms.TestMatrices.Higham28GaussianOrthogonal	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'Finite standard Gaussian vectors and orthogonal invariance', 22 generic-named declarations); citations
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: Gaussian QR produces Haar orthogonal matrices', 0 source-marked declarations); generic helpers are s
NumStability.Algorithms.TestMatrices.Higham28Ginibre	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the real-Ginibre closed-form asymptotic', 0 source-marked declarations); generic helpers are scoped 
NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: absolute-determinant recurrence infrastructure', 0 source-marked declarations); generic helpers are 
NumStability.Algorithms.TestMatrices.Higham28GinibreAtlas	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the finite affine atlas for real Ginibre eigenpairs', 0 source-marked declarations); generic helpers
NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: characteristic products of real-Ginibre matrices', 0 source-marked declarations); generic helpers ar
NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: real roots and conjugate pairs', 0 source-marked declarations); generic helpers are scoped to the sa
NumStability.Algorithms.TestMatrices.Higham28GinibreCorollary31Factor	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: normalization in Ginibre Corollary 3.1', 0 source-marked declarations); generic helpers are scoped t
NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantIntegral	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: Gaussian Ginibre determinant integral', 0 source-marked declarations); generic helpers are scoped to
NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the Ginibre absolute characteristic moment', 0 source-marked declarations); generic helpers are scop
NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'The exact two-dimensional real-Ginibre expectation', 45 generic-named declarations); citations or hist
NumStability.Algorithms.TestMatrices.Higham28GinibreExpectationGlue	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: scalar glue for the Ginibre expectation', 0 source-marked declarations); generic helpers are scoped 
NumStability.Algorithms.TestMatrices.Higham28GinibreFiniteFormula	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: closing the finite real-Ginibre expectation formula', 29 source-marked declarations); generic helper
NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the Gaussian incidence integral is the expectation', 0 source-marked declarations); generic helpers 
NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: affine real-eigenpair incidence chart', 0 source-marked declarations); generic helpers are scoped to
NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: unconditional Ginibre incidence integral', 0 source-marked declarations); generic helpers are scoped
NumStability.Algorithms.TestMatrices.Higham28GinibreJointDensity	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: Ginibre--Gaussian joint density', 0 source-marked declarations); generic helpers are scoped to the s
NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the finite real-Ginibre joint density', 0 source-marked declarations); generic helpers are scoped to
NumStability.Algorithms.TestMatrices.Higham28GinibreMultiplicity	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: incidence multiplicity equals real-root count', 0 source-marked declarations); generic helpers are s
NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# The distinguished affine eigenvector -/', 0 source-marked declarations); generic helpers are scoped to the same sourc
NumStability.Algorithms.TestMatrices.Higham28GinibreParity	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the finite real-Ginibre parity formula', 0 source-marked declarations); generic helpers are scoped t
NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: an affine chart for invariant real two-planes', 0 source-marked declarations); generic helpers are s
NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: invariant two-plane incidence algebra', 0 source-marked declarations); generic helpers are scoped to
NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the invariant-plane Sylvester determinant', 0 source-marked declarations); generic helpers are scope
NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 0/13 source-named declarations and title 'Higham Chapter 28: the affine projective-chart int'. Required split action retained: Split source-neutral declarations into NumStability.Analysis.TestMatrices and numbered/printed/source declarations into 
NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: scalar Ginibre recurrence and the one-dimensional case', 0 source-marked declarations); generic help
NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: measurability of the real-eigenvalue count', 0 source-marked declarations); generic helpers are scop
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: closing the Ginibre formula from a two-step shift', 0 source-marked declarations); generic helpers a
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: signed count expectations', 0 source-marked declarations); generic helpers are scoped to the same so
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the ordered signed Gaussian integral', 0 source-marked declarations); generic helpers are scoped to 
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the signed two-incidence transfer', 0 source-marked declarations); generic helpers are scoped to the
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidenceAlgebra	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: algebra for the second signed incidence', 0 source-marked declarations); generic helpers are scoped 
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedKernel	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: ordered characteristic-kernel moment', 0 source-marked declarations); generic helpers are scoped to 
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: signed root-rank decomposition', 0 source-marked declarations); generic helpers are scoped to the sa
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: signed rank-transfer helpers', 0 source-marked declarations); generic helpers are scoped to the same
NumStability.Algorithms.TestMatrices.Higham28GinibreSignedScalar	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: scalar identities for the signed Ginibre recurrence', 0 source-marked declarations); generic helpers
NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: trace-correlated determinant density', 0 source-marked declarations); generic helpers are scoped to 
NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: truncated signed incidence', 0 source-marked declarations); generic helpers are scoped to the same s
NumStability.Algorithms.TestMatrices.Higham28HilbertAsymptotic	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 10 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: Hilbert condition-number growth', 0 source-marked declarations); generic helpers are scoped to the s
NumStability.Algorithms.TestMatrices.Higham28Moments	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: moment representations of Hilbert and Pascal matrices', 0 source-marked declarations); generic helpe
NumStability.Algorithms.TestMatrices.Higham28OrthogonalCoordinates	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'First-coordinate quotients of orthogonal Haar probability -/', 12 generic-named declarations); citatio
NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'Block stabilizers and measurable first-row sections of `O(n)` -/', 38 generic-named declarations); cit
NumStability.Algorithms.TestMatrices.Higham28OrthogonalHaar	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'Normalized Haar probability on the finite real orthogonal group -/', 17 generic-named declarations); c
NumStability.Algorithms.TestMatrices.Higham28OrthogonalSphere	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'The transitive orthogonal action on the Euclidean unit sphere -/', 6 generic-named declarations); cita
NumStability.Algorithms.TestMatrices.Higham28Pascal	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the Pascal cube root of the identity', 0 source-marked declarations); generic helpers are scoped to 
NumStability.Algorithms.TestMatrices.Higham28PascalCondition	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: faithful Pascal condition growth', 0 source-marked declarations); generic helpers are scoped to the 
NumStability.Algorithms.TestMatrices.Higham28PascalDualFlag	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 31 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: Pascal spectral oscillation -/', 0 source-marked declarations); generic helpers are scoped to the sa
NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 37 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28PascalOscillationExact	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 2 generic-named declarations); citations or historical filenames do not make the d
NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: the optimal Pascal singularizing perturbation', 0 source-marked declarations); generic helpers are s
NumStability.Algorithms.TestMatrices.Higham28PascalTotalPositivity	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 25 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28Probability	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: precise probability statement surfaces', 0 source-marked declarations); generic helpers are scoped t
NumStability.Algorithms.TestMatrices.Higham28RandsvdNorm	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: exact randsvd spectral norms', 0 source-marked declarations); generic helpers are scoped to the same
NumStability.Algorithms.TestMatrices.Higham28ReciprocalSPD	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: general reciprocal-spectrum SPD construction', 27 source-marked declarations); generic helpers are s
NumStability.Algorithms.TestMatrices.Higham28ShiftedHilbert	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'The shifted Hilbert finite-section norm', 36 generic-named declarations); citations or historical file
NumStability.Algorithms.TestMatrices.Higham28Stewart	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: Stewart's randsvd producer', 0 source-marked declarations); generic helpers are scoped to the same s
NumStability.Algorithms.TestMatrices.Higham28StewartHaar	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'Stewart's Gaussian Householder producer has normalized Haar law -/', 6 generic-named declarations); ci
NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 12 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Measure-level induction scaffold -/', 51 generic-named declarations); citations or historical filena
NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: exact second-difference condition number -/', 0 source-marked declarations); generic helpers are sco
NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapter 28: nonsymmetric tridiagonal Toeplitz spectrum -/', 0 source-marked declarations); generic helpers are s
NumStability.Algorithms.TestMatrices.Higham28ToeplitzSpectrum	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 23 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Underdetermined.Higham21	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.Underdetermined.Higham21Attainability	source	new		numbered/book-specific ownership: title '', 27 source-named declaration(s) of 27
NumStability.Algorithms.Underdetermined.Higham21Eq21_11Uniform	source	new		numbered/book-specific ownership: title '', 37 source-named declaration(s) of 37
NumStability.Algorithms.Underdetermined.Higham21Eq21_8	source	new		numbered/book-specific ownership: title '', 32 source-named declaration(s) of 32
NumStability.Algorithms.Underdetermined.Higham21Eq21_9	source	new		numbered/book-specific ownership: title 'Higham, Chapter 21, equation (21.9)', 34 source-named declaration(s) of 34
NumStability.Algorithms.Underdetermined.Higham21Equation21_11	source	new		numbered/book-specific ownership: title '', 3 source-named declaration(s) of 3
NumStability.Algorithms.Underdetermined.Higham21Equation21_11Scalar	source	new		numbered/book-specific ownership: title '', 3 source-named declaration(s) of 3
NumStability.Algorithms.Underdetermined.Higham21Givens	source	new		numbered/book-specific ownership: title '', 11 source-named declaration(s) of 11
NumStability.Algorithms.Underdetermined.Higham21GivensClosure	source	new		numbered/book-specific ownership: title 'The earlier Givens endpoint deliberately exposed a stored-replay bridg', 35 source-named declaration(s) of 39
NumStability.Algorithms.Underdetermined.Higham21GivensRounded	source	new		numbered/book-specific ownership: title 'Stored rotations and their rounded transpose replay -/', 24 source-named declaration(s) of 24
NumStability.Algorithms.Underdetermined.Higham21MGS	source	new		numbered/book-specific ownership: title 'The displayed comparison bound -/', 32 source-named declaration(s) of 32
NumStability.Algorithms.Underdetermined.Higham21MGSRounded	source	new		numbered/book-specific ownership: title 'A rounded corrected-MGS step -/', 50 source-named declaration(s) of 50
NumStability.Algorithms.Underdetermined.Higham21Perturbation	source	new		numbered/book-specific ownership: title '', 20 source-named declaration(s) of 20
NumStability.Algorithms.Underdetermined.Higham21PerturbationRadius	source	new		numbered/book-specific ownership: title '', 41 source-named declaration(s) of 41
NumStability.Algorithms.Underdetermined.Higham21ProjectorNorm	source	new		numbered/book-specific ownership: title '', 17 source-named declaration(s) of 17
NumStability.Algorithms.Underdetermined.Higham21QRFoundations	source	new		numbered/book-specific ownership: title 'Higham Chapter 21: QR foundations for equations (21.1)-(21.4)', 12 source-named declaration(s) of 12
NumStability.Algorithms.Underdetermined.Higham21RankStability	source	new		numbered/book-specific ownership: title '', 5 source-named declaration(s) of 5
NumStability.Algorithms.Underdetermined.Higham21SNEActualOutput	source	new		numbered/book-specific ownership: title '', 13 source-named declaration(s) of 13
NumStability.Algorithms.Underdetermined.Higham21SNEClosure	source	new		numbered/book-specific ownership: title 'Concrete signed SNE closure', 50 source-named declaration(s) of 50
NumStability.Algorithms.Underdetermined.Higham21SNEConditionTransfer	source	new		numbered/book-specific ownership: title 'Fixed-radius SNE condition transfer', 16 source-named declaration(s) of 16
